district,441,2011,Boys Toilet ,2015,2959
district,441,2011,Drinking Water ,2015,3245
district,441,2011,Electricity ,2015,453
district,441,2011,Computer ,2015,247
district,414,2011,Playground ,2015,2550
district,414,2011,Boundarywall ,2015,1750
district,414,2011,Girls Toilet ,2015,3081
district,414,2011,Boys Toilet ,2015,3042
district,414,2011,Drinking Water ,2015,3133
district,414,2011,Electricity ,2015,1522
district,414,2011,Computer ,2015,302
district,185,2011,Playground ,2015,2550
district,185,2011,Boundarywall ,2015,1750
district,185,2011,Girls Toilet ,2015,3081
district,185,2011,Boys Toilet ,2015,3042
district,185,2011,Drinking Water ,2015,3133
district,185,2011,Electricity ,2015,1522
district,185,2011,Computer ,2015,302
district,46,2011,Playground ,2015,966
district,46,2011,Boundarywall ,2015,1001
district,46,2011,Girls Toilet ,2015,994
district,46,2011,Boys Toilet ,2015,986
district,46,2011,Drinking Water ,2015,1014
district,46,2011,Electricity ,2015,1014
district,46,2011,Computer ,2015,586
district,391,2011,Playground ,2015,433
district,391,2011,Boundarywall ,2015,923
district,391,2011,Girls Toilet ,2015,1520
district,391,2011,Boys Toilet ,2015,1523
district,391,2011,Drinking Water ,2015,1635
district,391,2011,Electricity ,2015,477
district,391,2011,Computer ,2015,100
district,222,2011,Playground ,2015,433
district,222,2011,Boundarywall ,2015,923
district,222,2011,Girls Toilet ,2015,1520
district,222,2011,Boys Toilet ,2015,1523
district,222,2011,Drinking Water ,2015,1635
district,222,2011,Electricity ,2015,477
district,222,2011,Computer ,2015,100
district,555,2011,Playground ,2015,1285
district,555,2011,Boundarywall ,2015,1332
district,555,2011,Girls Toilet ,2015,1811
district,555,2011,Boys Toilet ,2015,1796
district,555,2011,Drinking Water ,2015,1837
district,555,2011,Electricity ,2015,1809
district,555,2011,Computer ,2015,641
district,565,2011,Playground ,2015,1193
district,565,2011,Boundarywall ,2015,1459
district,565,2011,Girls Toilet ,2015,1997
district,565,2011,Boys Toilet ,2015,1985
district,565,2011,Drinking Water ,2015,2004
district,565,2011,Electricity ,2015,1953
district,565,2011,Computer ,2015,704
district,447,2011,Playground ,2015,3067
district,447,2011,Boundarywall ,2015,1662
district,447,2011,Girls Toilet ,2015,2940
district,447,2011,Boys Toilet ,2015,3049
district,447,2011,Drinking Water ,2015,3123
district,447,2011,Electricity ,2015,397
district,447,2011,Computer ,2015,280
district,378,2011,Playground ,2015,768
district,378,2011,Boundarywall ,2015,1437
district,378,2011,Girls Toilet ,2015,1906
district,378,2011,Boys Toilet ,2015,2147
district,378,2011,Drinking Water ,2015,2256
district,378,2011,Electricity ,2015,1201
district,378,2011,Computer ,2015,305
district,224,2011,Playground ,2015,800
district,224,2011,Boundarywall ,2015,1263
